ID,Address,AddressLine1,City,State,ZipCode,PropertyType,Bathrooms,Bedrooms,Price,SquareFeet,Latitude,Longitude
"220-16th-Ave-E,-Seattle,-WA-98112","220 16th Ave E, Seattle, WA 98112",220 16th Ave E,Seattle,WA,98112,Apartment,1,1,2050,,47.620317,-122.311001
"2200-Minor-Ave-E,-Seattle,-WA-98102","2200 Minor Ave E, Seattle, WA 98102",2200 Minor Ave E,Seattle,WA,98102,Apartment,1,2,1975,,47.638412,-122.327984
"2201-4th-Ave,-Seattle,-WA-98121","2201 4th Ave, Seattle, WA 98121",2201 4th Ave,Seattle,WA,98121,Apartment,,,1828,,47.614618,-122.343274
"2201-Eastlake-Ave-E,-Seattle,-WA-98102","2201 Eastlake Ave E, Seattle, WA 98102",2201 Eastlake Ave E,Seattle,WA,98102,Apartment,1,0,1995,,47.63855,-122.326118
"2201-S-Main-St,-Seattle,-WA-98144","2201 S Main St, Seattle, WA 98144",2201 S Main St,Seattle,WA,98144,Apartment,1,1,1295,,47.600128,-122.302963
"2201-Sw-Holden-St,-Seattle,-WA-98106","2201 Sw Holden St, Seattle, WA 98106",2201 Sw Holden St,Seattle,WA,98106,Apartment,1,1,1765,650,47.53278,-122.36267
"2203-E-Union-St,-Seattle,-WA-98122","2203 E Union St, Seattle, WA 98122",2203 E Union St,Seattle,WA,98122,Apartment,1,0,1550,,47.612673,-122.303177
"221-Minor-Ave-N,-Seattle,-WA-98109","221 Minor Ave N, Seattle, WA 98109",221 Minor Ave N,Seattle,WA,98109,Apartment,1,1,2397,534,47.620327,-122.333344
"221-W-Mercer-St,-Seattle,-WA-98119","221 W Mercer St, Seattle, WA 98119",221 W Mercer St,Seattle,WA,98119,Apartment,1,0,1375,,47.624364,-122.360418
"2215-Eastlake-Ave-E,-Seattle,-WA-98102","2215 Eastlake Ave E, Seattle, WA 98102",2215 Eastlake Ave E,Seattle,WA,98102,Apartment,1,0,1250,,47.63874,-122.326254
"2220-Eastlake-Ave-E,-Seattle,-WA-98102","2220 Eastlake Ave E, Seattle, WA 98102",2220 Eastlake Ave E,Seattle,WA,98102,Apartment,1,2,1900,,47.638795,-122.325534
"2230-4th-Ave,-Seattle,-WA-98121","2230 4th Ave, Seattle, WA 98121",2230 4th Ave,Seattle,WA,98121,Apartment,1,0,1198,,47.615405,-122.343387
"2230-N-106th-St,-Seattle,-WA-98133","2230 N 106th St, Seattle, WA 98133",2230 N 106th St,Seattle,WA,98133,Apartment,1,2,1895,,47.706139,-122.331009
"2233-1st-Ave,-Seattle,-WA-98121","2233 1st Ave, Seattle, WA 98121",2233 1st Ave,Seattle,WA,98121,Apartment,1,1,2195,,47.613058,-122.346583
